-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

								Lower Bound					Upper Bound					Binary Search
						---------------------------------------------		---------------------------------------------		---------------------------------------------
Problem		n	m	c*		c	%dev	BD	SX	CPU(time)		c	%dev	BD	SX	CPU(time)		c	%dev	BD	SX	CPU(time)
			10	424		424	0	32	15.748	0.007357		424	0	456	372.502	0.44253		424	0	32	15.748	0.11832
			11	391		394	0.767263	126	77.5758	0.024541		394	0.767263	520	350.22	0.353716		394	0.767263	126	77.5758	0.040291
			12	358		362	1.11732	136	92.0109	0.013452		362	1.11732	523	327.046	0.330505		362	1.11732	136	92.0109	0.088681
			13	325		327	0.615385	43	19.7231	0.004749		327	0.615385	370	233.024	0.325065		327	0.615385	43	19.7231	0.039841
			14	311		316	1.60772	216	150.519	0.023067		316	1.60772	532	291.692	0.3104		316	1.60772	216	150.519	0.034163
			15	288		293	1.73611	187	126.337	0.021525		293	1.73611	534	252.389	0.287883		293	1.73611	187	126.337	0.061069
			16	268		271	1.1194	128	61.7738	0.010806		271	1.1194	453	217.989	0.265125		271	1.1194	128	61.7738	0.030344
			17	251		258	2.78884	178	81.9756	0.01359		258	2.78884	436	221.088	0.306438		258	2.78884	178	81.9756	0.025514
			18	239		244	2.09205	184	80	0.016321		244	2.09205	428	207.581	0.263591		244	2.09205	184	80	0.025091
			19	226		238	5.30973	314	190.284	0.021572		238	5.30973	552	235.155	0.224242		238	5.30973	314	190.284	0.015167
			20	220		224	1.81818	272	173.286	0.019955		224	1.81818	496	230.365	0.224069		224	1.81818	272	173.286	0.054266
			21	208		211	1.44231	223	115.918	0.014828		211	1.44231	434	162.08	0.232185		211	1.44231	223	115.918	0.019415
			22	200		204	2	280	118.507	0.018907		207	3.5	553	188.072	0.197536		207	3.5	346	147.452	0.015056
			23	189		193	2.1164	231	99.955	0.013221		193	2.1164	424	151.493	0.197098		193	2.1164	231	99.955	0.019913
			24	179		182	1.67598	160	53.8145	0.010257		182	1.67598	396	135.787	0.195761		182	1.67598	160	53.8145	0.023097
			25	172		176	2.32558	192	69.7997	0.009431		176	2.32558	422	152.584	0.204287		176	2.32558	192	69.7997	0.022171
			26	171		171	0	238	80.025	0.001327		171	0	463	156.694	0.188735		171	0	238	80.025	0.015539

