-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

								Lower Bound					Upper Bound					Binary Search
						---------------------------------------------		---------------------------------------------		---------------------------------------------
Problem		n	m	c*		c	%dev	BD	SX	CPU(time)		c	%dev	BD	SX	CPU(time)		c	%dev	BD	SX	CPU(time)
			19	89		98	10.1124	218	85.0176	0.004901		98	10.1124	346	104.336	0.083275		98	10.1124	218	85.0176	0.033415
			20	85		94	10.5882	236	70.8096	0.02563		94	10.5882	360	101.882	0.080784		94	10.5882	236	70.8096	0.004602
			21	80		91	13.75	267	74.505	0.005677		91	13.75	388	111.821	0.0798		91	13.75	267	74.505	0.003951
			22	76		89	17.1053	314	91.214	0.038179		89	17.1053	403	116.056	0.061748		89	17.1053	314	91.214	0.003754
			23	74		77	4.05405	127	44.9555	0.001685		77	4.05405	204	74.7128	0.090062		77	4.05405	127	44.9555	0.039704

MUKHERJE.IN2   	94	3	1403		1415	0.85531	37	32.3883	0.006977		1415	0.85531	1452	1362.46	2.29093		1415	0.85531	37	32.3883	1.13548
			4	1052		1074	2.09125	88	76.4853	0.040431		1074	2.09125	1162	1024.37	1.73029		1074	2.09125	88	76.4853	0.392674
			5	844		848	0.473934	32	23.8747	0.004174		848	0.473934	880	795.883	1.55067		848	0.473934	32	23.8747	0.320441
			6	704		713	1.27841	70	46.3897	0.014756		713	1.27841	783	663.223	1.13448		713	1.27841	70	46.3897	0.274272
			7	621		626	0.805153	174	143.485	0.034842		626	0.805153	800	584.455	0.904668		626	0.805153	174	143.485	0.201391
			8	532		546	2.63158	160	90.2884	0.030115		546	2.63158	706	462.9	0.77493		546	2.63158	160	90.2884	0.172115
			9	471		478	1.4862	94	44.4522	0.012051		478	1.4862	626	399.587	0.803449		478	1.4862	94	44.4522	0.205678
			10	424		425	0.235849	42	19.9499	0.004082		425	0.235849	467	327.986	0.754739		425	0.235849	42	19.9499	0.16785
			11	391		399	2.04604	181	114.232	0.021828		399	2.04604	580	361.657	0.614093		399	2.04604	181	114.232	0.095373
			12	358		366	2.23464	184	108.407	0.023218		366	2.23464	550	290.148	0.556267		366	2.23464	184	108.407	0.129924
			13	325		335	3.07692	147	67.2978	0.028768		335	3.07692	482	251.559	0.535352		335	3.07692	147	67.2978	0.113852
			14	311		320	2.89389	272	159.794	0.083562		320	2.89389	592	267.099	0.418225		320	2.89389	272	159.794	0.071154
			15	288		301	4.51389	307	126.305	0.02178		301	4.51389	662	280.129	0.482736		301	4.51389	307	126.305	0.090193
			16	268		274	2.23881	176	82.6559	0.029346		274	2.23881	504	219.303	0.431406		274	2.23881	176	82.6559	0.12744
			17	251		269	7.17132	365	151.7	0.02567		269	7.17132	634	264.658	0.398657		269	7.17132	365	151.7	0.031962
			18	239		251	5.02092	310	130.95	0.01188		251	5.02092	561	237.531	0.373413		251	5.02092	310	130.95	0.094868
			19	226		244	7.9646	428	220.232	0.03887		244	7.9646	672	266.244	0.386096		244	7.9646	428	220.232	0.049985
			20	220		230	4.54545	392	192.66	0.027403		230	4.54545	622	230.443	0.362304		230	4.54545	392	192.66	0.072825
			21	208		215	3.36538	307	131.883	0.028085		215	3.36538	522	181.835	0.345088		215	3.36538	307	131.883	0.094649
			22	200		207	3.5	346	130.085	0.024921		207	3.5	553	173.767	0.308771		207	3.5	346	130.085	0.091519
			23	189		194	2.6455	254	103.015	0.010194		194	2.6455	448	143.854	0.310717		194	2.6455	254	103.015	0.073347
			24	179		187	4.46927	280	101.094	0.041068		187	4.46927	521	160.147	0.314138		187	4.46927	280	101.094	0.029604
			25	172		181	5.23256	317	98.2497	0.042103		181	5.23256	552	177.341	0.270298		181	5.23256	317	98.2497	0.009352
