-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

								Lower Bound					Upper Bound					Binary Search
						---------------------------------------------		---------------------------------------------		---------------------------------------------
Problem		n	m	c*		c	%dev	BD	SX	CPU(time)		c	%dev	BD	SX	CPU(time)		c	%dev	BD	SX	CPU(time)
			11	391		393	0.511509	115	88.6172	0.031158		393	0.511509	508	348.284	0.77009		393	0.511509	115	88.6172	0.062922
			12	358		364	1.67598	160	102.869	0.04014		364	1.67598	524	287.892	0.810818		364	1.67598	160	102.869	0.064531
			13	325		330	1.53846	82	32.8938	0.005727		330	1.53846	412	245.634	0.613458		330	1.53846	82	32.8938	0.180328
			14	311		315	1.28617	202	135.912	0.025527		315	1.28617	571	267.737	0.584974		315	1.28617	202	135.912	0.057717
			15	288		295	2.43056	217	104.848	0.031119		295	2.43056	566	259.326	0.460843		295	2.43056	217	104.848	0.12709
			16	268		272	1.49254	144	69.1809	0.00653		272	1.49254	416	234.981	0.481813		272	1.49254	144	69.1809	0.051744
			17	251		262	4.38247	246	107.406	0.011335		262	4.38247	508	242.173	0.456791		262	4.38247	246	107.406	0.026457
			18	239		244	2.09205	184	79.5362	0.038542		244	2.09205	428	206.485	0.37475		244	2.09205	184	79.5362	0.138753
			19	226		238	5.30973	314	122.287	0.029744		238	5.30973	552	232.753	0.395224		238	5.30973	314	122.287	0.030163
			20	220		224	1.81818	272	173.28	0.01707		224	1.81818	496	208.816	0.451237		224	1.81818	272	173.28	0.097039
			21	208		214	2.88462	286	130.553	0.029465		214	2.88462	500	178.471	0.443707		214	2.88462	286	130.553	0.04976
			22	200		206	3	324	125.332	0.03324		206	3	530	180.117	0.376304		206	3	324	125.332	0.033039
			23	189		192	1.5873	208	97.7036	0.040822		192	1.5873	400	136.572	0.41755		192	1.5873	208	97.7036	0.046016
			24	179		186	3.91061	256	87.2009	0.04191		186	3.91061	496	177.178	0.358285		186	3.91061	256	87.2009	0.033679
			25	172		179	4.06977	267	91.0549	0.006632		179	4.06977	446	161.87	0.318684		179	4.06977	267	91.0549	0.04203
