-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

								Lower Bound					Upper Bound					Binary Search
						---------------------------------------------		---------------------------------------------		---------------------------------------------
Problem		n	m	c*		c	%dev	BD	SX	CPU(time)		c	%dev	BD	SX	CPU(time)		c	%dev	BD	SX	CPU(time)
			10	165		174	5.45455	96	48.1664	0.030266		174	5.45455	270	163.414	0.154295		174	5.45455	96	48.1664	0.030509
			11	151		160	5.96026	116	44.8107	0.004139		160	5.96026	276	149.947	0.159358		160	5.96026	116	44.8107	0.016895
			12	138		148	7.24638	132	68.7895	0.03387		148	7.24638	298	153.747	0.122847		148	7.24638	132	68.7895	0.008886
			13	128		137	7.03125	137	57.7841	0.005152		137	7.03125	274	131.833	0.123353		137	7.03125	137	57.7841	0.037385
			14	118		128	8.47458	148	61.0574	0.004561		128	8.47458	276	126.333	0.096674		128	8.47458	148	61.0574	0.033454
			15	110		122	10.9091	186	76.3937	0.005112		122	10.9091	308	129.908	0.157779		122	10.9091	186	76.3937	0.004049
			16	105		115	9.52381	196	100.916	0.005705		115	9.52381	341	129.688	0.146786		115	9.52381	196	100.916	0.005883
			17	98		109	11.2245	209	74.7596	0.005387		109	11.2245	336	121.737	0.102604		109	11.2245	209	74.7596	0.006749
			18	93		100	7.52688	156	45.299	0.003766		100	7.52688	315	100.95	0.091547		100	7.52688	156	45.299	0.025777
			19	89		95	6.74157	161	55.0908	0.004072		95	6.74157	286	94.5198	0.088651		95	6.74157	161	55.0908	0.008853
			20	85		94	10.5882	236	73.3621	0.051543		94	10.5882	360	109.38	0.052724		94	10.5882	236	73.3621	0.014354
			21	80		91	13.75	267	81.2465	0.005283		91	13.75	388	111.095	0.070355		91	13.75	267	81.2465	0.00372
			22	76		86	13.1579	248	71.7217	0.005303		86	13.1579	334	98.9444	0.077054		86	13.1579	248	71.7217	0.00611
			23	74		81	9.45946	219	60.8358	0.003461		81	9.45946	330	97.0876	0.072611		81	9.45946	219	60.8358	0.005615

MUKHERJE.IN2   	94	3	1403		1414	0.784034	34	33.0151	0.031544		1414	0.784034	1448	1314.95	1.90433		1414	0.784034	34	33.0151	0.910134
			4	1052		1060	0.760456	32	19.6469	0.0316		1060	0.760456	1092	962.015	1.58685		1060	0.760456	32	19.6469	0.389465
			5	844		858	1.65877	82	67.4981	0.032714		858	1.65877	940	761.798	1.27445		858	1.65877	82	67.4981	0.288233
			6	704		714	1.42045	76	37.9473	0.006502		721	2.41477	839	628.833	0.934102		721	2.41477	118	89.3644	0.240319
			7	621		625	0.644122	167	141.538	0.047917		629	1.28824	824	555.201	0.860135		629	1.28824	195	148.219	0.188627
			8	532		541	1.69173	120	65.7723	0.04939		541	1.69173	661	457.68	0.705664		541	1.69173	120	65.7723	0.1897
			9	471		487	3.39703	175	82.1401	0.012617		487	3.39703	790	409.558	0.676977		487	3.39703	175	82.1401	0.145718
			10	424		435	2.59434	142	84.7231	0.008179		435	2.59434	705	357.744	0.603594		435	2.59434	142	84.7231	0.145392
			11	391		399	2.04604	181	100.851	0.054044		399	2.04604	580	321.764	0.55616		399	2.04604	181	100.851	0.12039
			12	358		364	1.67598	160	73.1437	0.029003		364	1.67598	524	277.482	0.52414		364	1.67598	160	73.1437	0.127786
			13	325		337	3.69231	173	65.6125	0.016757		351	8	706	314.544	0.427736		351	8	355	167.072	0.060936
			14	311		328	5.46624	384	152.02	0.048688		328	5.46624	712	292.862	0.404734		328	5.46624	384	152.02	0.073414
			15	288		306	6.25	382	138.362	0.028996		306	6.25	791	346.466	0.377794		306	6.25	382	138.362	0.058817
			16	268		288	7.46269	400	150.924	0.065672		288	7.46269	816	283.065	0.344928		288	7.46269	400	150.924	0.066167
			17	251		263	4.78088	263	90.5041	0.010198		263	4.78088	654	225.765	0.399681		263	4.78088	263	90.5041	0.05226
			18	239		251	5.02092	310	119.29	0.067053		251	5.02092	561	215.97	0.346015		251	5.02092	310	119.29	0.055832
			19	226		247	9.29204	485	196.782	0.024793		247	9.29204	732	272.085	0.324755		247	9.29204	485	196.782	0.032748
			20	220		245	11.3636	692	264.352	0.045749		245	11.3636	937	307.374	0.349439		245	11.3636	692	264.352	0.027556
			21	208		224	7.69231	496	176.952	0.041037		238	14.4231	1028	305.752	0.278731		238	14.4231	790	254.562	0.01121
			22	200		217	8.5	566	178.32	0.062429		217	8.5	783	241.903	0.241257		217	8.5	566	178.32	0.04877
			23	189		208	10.0529	576	166.235	0.028366		208	10.0529	784	223.428	0.293172		208	10.0529	576	166.235	0.026952
			24	179		189	5.58659	328	99.7497	0.029513		189	5.58659	620	222.216	0.235793		189	5.58659	328	99.7497	0.058208
